,CaseID,CASEID_NEW,qflag,weight1,weight1_freqwt,weight2,weight1a,weight1a_freqwt,weight_combo,weight_combo_freqwt,duration,speed_flag,xlgb,S3,DOV_Branch,Past_Partner_Q1,w6_relationship_end_nonmar,w6_breakup_nonmar,w6_relationship_end_mar,w6_who_breakup,Q5_2,Q6A_2,Q9B_2,Q10_2,Q11_2,Q12_2,Q14_2,Q15A7_2_1,Q16_2,Q17B_2,Q17C_2,Q17D_2,Q20_2,Q21A_2_Year,Q21A_2_Month,Q21B_2_Year,Q21B_2_Month,Q21C_2_Year,Q21C_2_Month,Q21D_2_Year,Q21D_2_Month,Q21E_2_Year,Q21E_2_Month,Q21F_2_start_range,Q21F_2_Year,Q21F_2_Month,w6_identity_2,w6_outness_2,w6_outness_timing_2,Q23_2,Q25_2,Q26_2,Q27_2,Q28_2,w6_friend_connect_2_1,w6_friend_connect_2_2,w6_friend_connect_2_3,w6_friend_connect_2_4,w6_friend_connect_2_Refused,Q32_2,w6_otherdate_2,w6_how_many_2,w6_otherdate_app_2,w6_how_many_app_2,partyid7,PERSNET_hom,ppc10017,ppc21310,ppp20071,ppp20072,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,PPREG4,ppreg9,pprent,PPT01,PPT25,PPT612,PPT1317,PPT18OV,ppwork,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,race1,race2,race3,race4,race5,race6,race7,race8,race9,race10,race11,race12,race13,race14,race15,w6_took_the_survey,w6_prior_identity_lgb,w6_same_sex_couple,w6_same_sex_couple_gender,w6_q4,w6_q5,w6_q6a,w6_q6b,w6_q9,w6_q10,w6_q11,w6_q12,w6_q14,w6_q15a1_truncated,w6_q15a4_truncated,w6_q15a7,w6_q16,w6_q17,w6_attraction,w6_q19,w6_q20,w6_q21a_year,w6_q21a_month,w6_q21a_month_flag,w6_q21b_year,w6_q21b_month,w6_q21b_month_flag,w6_q21c_year,w6_q21c_month,w6_q21c_month_flag,w6_q21d_year,w6_q21d_month,w6_q21e_year,w6_q21e_month,w6_q21f_year,w6_q21f_month,w6_identity_all,w6_outness_all,w6_outness_timing_all,w6_q23,w6_q24_length,w6_q25,w6_q26,w6_q27,w6_q28,w6_friend_connect_1_all,w6_friend_connect_2_all,w6_friend_connect_3_all,w6_friend_connect_4_all,w6_q32,w6_q34,w6_otherdate_all,w6_how_many_all,w6_otherdate_app_all,w6_how_many_app_all,w6_number_people_met,w6_otherdate_dichotomous,w6_married,relate_duration_at_w6_years,w6_number_people_met_app,weight_combo_v2,partnership_status,female,year_fraction_met,year_fraction_relstart,age_when_met,time_from_met_to_rel,year_fraction_first_cohab,time_from_rel_to_cohab,hcm2017q24_R_cowork,hcm2017q24_R_friend,hcm2017q24_R_family,hcm2017q24_R_sig_other,hcm2017q24_R_neighbor,hcm2017q24_P_cowork,hcm2017q24_P_friend,hcm2017q24_P_family,hcm2017q24_P_sig_other,hcm2017q24_P_neighbor,hcm2017q24_btwn_I_cowork,hcm2017q24_btwn_I_friend,hcm2017q24_btwn_I_family,hcm2017q24_btwn_I_sig_other,hcm2017q24_btwn_I_neighbor,hcm2017q24_school,hcm2017q24_college,hcm2017q24_mil,hcm2017q24_church,hcm2017q24_vol_org,hcm2017q24_customer,hcm2017q24_bar_restaurant,hcm2017q24_party,hcm2017q24_internet_other,hcm2017q24_internet_dating,hcm2017q24_internet_soc_network,hcm2017q24_internet_game,hcm2017q24_internet_chat,hcm2017q24_internet_org,hcm2017q24_public,hcm2017q24_blind_date,hcm2017q24_vacation,hcm2017q24_single_serve_nonint,hcm2017q24_business_trip,hcm2017q24_work_neighbors,hcm2017q24_met_online,hcm2017_q24_length,hcm2017q24_summary_all_codes,hcm2017q24_met_through_family,hcm2017q24_met_through_friend,hcm2017q24_met_through_as_nghbrs,hcm2017q24_met_as_through_cowork,w6_subject_race,interracial_5cat,partner_mother_yrsed,subject_mother_yrsed,partner_yrsed,subject_yrsed
1971,2371,2295009,Qualified,1.0199,79896.0,,1014,79434.0,1.1465877,79585.0,18,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,[Partner Name] wanted to break up more,nan,nan,nan,No (Not Latino or Hispanic),1960.0,Bachelors degree,HS graduate or GED,Strong Democrat,Masters degree,I met [Partner Name] in [answer in Q15A7_2],1.0,Once,nan,I am sexually attracted only to women,No,2016,February,2016,February,nan,nan,nan,nan,2016,September,Q21B_2,nan,nan,heterosexual or straight,nan,nan,I earned more,Different High School,Did not attend same college or university,No,No,Yes,Yes,No,No,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Strong Democrat,Yes,No,Every day,No,More than once a week,71,65-74,60+,Masters degree,Bachelor's degree or higher,Hispanic,Male,Yes,1,A one-family house detached from any other house,"$40,000 to $49,999",Divorced,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,No,No,No,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,57.0,Bachelors degree,HS graduate or GED,Strong Democrat,Masters degree,United States,United States,I met [Partner Name] in [Answer in Q15A6],1.0,1.0,sexually attracted only to opposite gender,nan,No,2016.0,February,no,2016.0,February,0.0,,nan,,,nan,2016.0,September,,nan,heterosexual or straight,nan,,I earned more,21.0,Different High School,2.0,No,No,yes,yes,no,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,1.1227164,"unpartnered, has had past partner",0,2016125,2016125,70.0,0.0,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,21.0,0.0,no,no,no,no,Other (please specify),yes,12.0,17.0,16.0,17.0
1973,2373,2354767,Qualified,0.8018,62811.0,,0.7972,62451.0,0.9014395,62569.0,6862,Completed survey in over 2 minutes,gen pop,Yes,2,Yes,nan,nan,"[Partner Name] passed away, is deceased",nan,nan,No (Not Latino or Hispanic),1941.0,11th grade,HS graduate or GED,Leans Republican,HS graduate or GED,I met [Partner Name] in [answer in Q15A7_2],6.0,Twice,I am sexually attracted only to men,nan,Yes,1982,August,1982,October,1983,September,1983,November,nan,nan,Q21D_2,2011,May,heterosexual or straight,nan,nan,I earned more,Different High School,nan,No,No,Yes,Yes,No,No,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Leans Republican,Yes,Yes,At least once a week but not every day,Yes,Once a week,71,65-74,60+,Associate degree,Some college,"White, Non-Hispanic",Female,Yes,1,A building with 2 or more apartments,"$100,000 to $124,999",Widowed,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,76.0,11th grade,HS graduate or GED,Leans Republican,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],6.0,2.0,sexually attracted only to opposite gender,nan,Yes,1982.0,August,no,1982.0,October,0.0,1983.0,September,,1983.0,November,,nan,2011.0,May,heterosexual or straight,nan,,I earned more,185.0,Different High School,,No,No,yes,yes,no,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,0.8826721,"unpartnered, has had past partner",1,1982625,1982.7916,36.0,0.16662598,1983.7084,0.91674805,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,185.0,2.0,no,no,no,yes,White,no,12.0,12.0,11.0,14.0
1977,2377,2947187,Not Qualified,,,,0.9305,72893.0,1.0521693,73031.0,0,Completed survey in under 2 minutes,gen pop,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Not asked,Not asked,Not asked,nan,nan,26,25-34,18-29,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,No,5,A one-family house detached from any other house,"$175,000 to $199,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,5,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"excluded b.c. never had a partner, S3==2",nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,,nan,nan,,nan,,,nan,,,nan,,nan,,nan,nan,nan,,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,,1.0302638,never had a partner,1,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,White,nan,,,,20.0
1978,2378,2924535,Not Qualified,,,,1.0974,85968.0,1.2408926,86131.0,1,Completed survey in under 2 minutes,gen pop,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Not asked,Not asked,Not asked,nan,nan,18,18-24,18-29,"Some college, no degree",Some college,"White, Non-Hispanic",Male,No,2,A one-family house detached from any other house,"$125,000 to $149,999",Never married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - looking for work,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"excluded b.c. never had a partner, S3==2",nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,,nan,nan,,nan,,,nan,,,nan,,nan,,nan,nan,nan,,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,,1.215058,never had a partner,0,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,White,nan,,,,13.0
1980,2381,2806863,Qualified,,,2.1486,,,0.6658098,46214.0,9,Completed survey in over 2 minutes,LGB sample,Yes,2,No,We broke up,We both equally wanted to break up,nan,nan,"No, we were an opposite-sex couple",No (Not Latino or Hispanic),1994.0,HS graduate or GED,Bachelors degree,Not Strong Democrat,HS graduate or GED,I met [Partner Name] in [answer in Q15A7_2],20.0,Never married,"I am mostly sexually attracted to women, less often sexually attracted to men",nan,No,2013,January,2014,October,nan,nan,nan,nan,2016,June,Q21B_2,nan,nan,bisexual,All or most of them,14,I earned more,Different High School,nan,Yes,No,Yes,No,No,No,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Not Strong Democrat,No,Yes,Every day,No,Once a year or less,23,18-24,18-29,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Female,No,6,A mobile home,"Less than $5,000",Never married,Metro,South,South Atlantic,Occupied without payment of cash rent,0,1,2,2,1,Not working - looking for work,No,Yes,No,No,No,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,"No, we are an opposite-sex couple",No (Not Latino or Hispanic),Black or African American,23.0,HS graduate or GED,Bachelors degree,Not Strong Democrat,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],20.0,0.0,"sexually attracted mostly to same gender, sometimes opposite gender",nan,No,2013.0,January,no,2014.0,October,0.0,,nan,,,nan,2016.0,June,,nan,bisexual,All or most of them,14.0,I earned more,130.0,Different High School,,Yes,No,yes,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,0.9369055,"unpartnered, has had past partner",1,2013.0416,2014.7916,19.0,1.75,,,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,130.0,2.0,no,yes,no,no,Black or African American,no,16.0,12.0,12.0,12.0
1983,2384,2140179,Qualified,0.8118,63594.0,,0.8071,63226.0,0.91263396,63346.0,3653,Completed survey in over 2 minutes,gen pop,Yes,2,Yes,nan,nan,divorce,[Partner Name] wanted the [divorce/separation] more.,nan,No (Not Latino or Hispanic),1963.0,HS graduate or GED,HS graduate or GED,Undecided/Independent/Other,HS graduate or GED,I met [Partner Name] in [answer in Q15A7_2],4.0,Once,nan,I am sexually attracted only to women,Yes,1989,March,1990,February,1990,September,1991,September,1999,February,Q21D_2,nan,nan,heterosexual or straight,nan,nan,I earned more,Different High School,nan,No,No,Yes,Yes,No,No,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Not Strong Republican,Yes,Yes,Every day,No,A few times a year,56,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,Yes,1,A building with 2 or more apartments,"$25,000 to $29,999",Divorced,Non-Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,54.0,HS graduate or GED,HS graduate or GED,Undecided/Independent/Other,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],4.0,1.0,sexually attracted only to opposite gender,nan,Yes,1989.0,March,no,1990.0,February,0.0,1990.0,September,,1991.0,September,1999.0,February,,nan,heterosexual or straight,nan,,I earned more,169.0,Different High School,,No,No,yes,yes,no,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,0.8936335,"unpartnered, has had past partner",0,1989.2084,1990125,28.0,0.916626,1990.7084,0.583374,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,169.0,2.0,no,no,no,yes,White,no,12.0,12.0,12.0,12.0
1984,2385,2420885,Qualified,,,0.6217,,,0.19265288,13372.0,30,Completed survey in over 2 minutes,LGB sample,Yes,2,No,We broke up,[Partner Name] wanted to break up more,nan,nan,"No, we were an opposite-sex couple",No (Not Latino or Hispanic),1981.0,Associate degree,Bachelors degree,Undecided/Independent/Other,Masters degree,"I met [Partner Name] somewhere else , Please specify the Country, State, and city or town:",0.0,Never married,"I am mostly sexually attracted to men, less often sexually attracted to women",nan,Yes,2015,November,2016,January,2016,August,nan,nan,2017,June,Q21C_2,nan,nan,bisexual,Some of them,16,I earned more,Different High School,Did not attend same college or university,No,No,Yes,Yes,No,No,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Strong Democrat,Yes,Yes,Every day,Not asked,Once a year or less,34,25-34,30-44,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Living with partner,Metro,South,West-South Central,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,"No, we are an opposite-sex couple",No (Not Latino or Hispanic),Black or African American,36.0,Associate degree,Bachelors degree,Undecided/Independent/Other,Masters degree,United States,United States,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",0.0,0.0,"sexually attracted mostly to opposite gender, sometimes same gender",nan,Yes,2015.0,November,no,2016.0,January,0.0,2016.0,August,,,nan,2017.0,June,,nan,bisexual,Some of them,16.0,I earned more,622.0,Different High School,2.0,No,No,yes,yes,no,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,0.27109474,"unpartnered, has had past partner",1,2015875,2016.0416,32.0,0.16662598,2016625,0.583374,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,622.0,2.0,no,yes,no,no,White,yes,16.0,17.0,14.0,20.0
1988,2390,2089493,Qualified,,,1.1518,,,0.35692066,24774.0,24,Completed survey in over 2 minutes,LGB sample,Yes,2,No,We broke up,I wanted to break up more,nan,nan,"Yes, we were a same-sex couple",No (Not Latino or Hispanic),1980.0,Professional or Doctorate degree,HS graduate or GED,Undecided/Independent/Other,5th or 6th grade,I met [Partner Name] in [answer in Q15A7_2],5.0,Never married,nan,"I am mostly sexually attracted to men, less often sexually attracted to women",No,2013,November,2013,December,nan,nan,nan,nan,2014,September,Q21B_2,nan,nan,gay,None of them,nan,We earned about the same amount,Different High School,Did not attend same college or university,No,No,No,No,No,Yes,No,"Yes, a social networking site (like Facebook or Myspace)","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Not Strong Democrat,Not asked,Yes,Every day,No,A few times a year,29,25-34,18-29,Bachelors degree,Bachelor's degree or higher,Hispanic,Male,No,4,A one-family house detached from any other house,"$40,000 to $49,999",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,4,Working - self-employed,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,LGB,same_sex_couple,gay male couple,[Partner Name] is Male,"Yes, we are a same-sex couple",No (Not Latino or Hispanic),Asian or Pacific Islander,37.0,Professional or Doctorate degree,HS graduate or GED,Undecided/Independent/Other,5th or 6th grade,United States,United States,I met [Partner Name] in [Answer in Q15A6],5.0,0.0,"sexually attracted mostly to same gender, sometimes opposite gender",nan,No,2013.0,November,no,2013.0,December,0.0,,nan,,,nan,2014.0,September,,nan,gay,None of them,,We earned about the same amount,96.0,Different High School,2.0,No,No,no,no,no,yes,"Yes, a social networking site (like Facebook or Myspace)",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,0.5022469,"unpartnered, has had past partner",0,2013875,2013.9584,25.0,0.08337402,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,96.0,1.0,no,no,no,no,White,yes,12.0,5.5,20.0,16.0
1989,2391,2906507,Not Qualified,,,,1.3774,107902.0,1.5575048,108107.0,0,Completed survey in under 2 minutes,gen pop,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Not asked,Not asked,Not asked,nan,nan,22,18-24,18-29,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,No,10,A one-family house detached from any other house,"$50,000 to $59,999",Never married,Non-Metro,West,Mountain,Owned or being bought by you or someone in your household,0,1,4,1,4,Working - as a paid employee,No,No,No,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"excluded b.c. never had a partner, S3==2",nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,,nan,nan,,nan,,,nan,,,nan,,nan,,nan,nan,nan,,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,,1.5250784,never had a partner,1,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,Other (please specify),nan,,,,12.0
1990,2392,1275971,Qualified,0.8445,66156.0,,0.8397,65780.0,0.9494966,65905.0,11,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,We both equally wanted to break up,nan,nan,nan,No (Not Latino or Hispanic),1951.0,HS graduate or GED,HS graduate or GED,Undecided/Independent/Other,Associate degree,I met [Partner Name] in [answer in Q15A7_2],1.0,Once,I am sexually attracted only to men,nan,No,1975,Refused,1975,Refused,nan,nan,nan,nan,1978,Refused,Q21B_2,nan,nan,heterosexual or straight,nan,nan,We earned about the same amount,Different High School,nan,No,No,No,No,Yes,No,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Not Strong Republican,Yes,No,Every day,No,Once a year or less,66,65-74,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,Yes,2,A one-family house attached to one or more houses,"$75,000 to $84,999",Divorced,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,66.0,HS graduate or GED,HS graduate or GED,Undecided/Independent/Other,Associate degree,United States,United States,I met [Partner Name] in [Answer in Q15A6],1.0,1.0,sexually attracted only to opposite gender,nan,No,1975.0,April,yes,1975.0,September,1.0,,nan,,,nan,1978.0,nan,,nan,heterosexual or straight,nan,,We earned about the same amount,162.0,Different High School,,No,No,no,no,yes,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,0.9297287,"unpartnered, has had past partner",1,1975.2916,1975.7084,24.0,0.41674805,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,162.0,1.0,no,no,no,no,White,no,12.0,14.0,12.0,16.0
1999,2404,2021733,Not Qualified,,,,1.3535,106030.0,1.5304797,106231.0,1,Completed survey in under 2 minutes,gen pop,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Not asked,Not asked,Not asked,nan,nan,28,25-34,18-29,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,No,3,A mobile home,"$25,000 to $29,999",Never married,Non-Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,3,Not working - looking for work,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"excluded b.c. never had a partner, S3==2",nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,,nan,nan,,nan,,,nan,,,nan,,nan,,nan,nan,nan,,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,,,1.498616,never had a partner,0,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,White,nan,,,,12.0
2000,2405,1406937,Qualified,1106,86641.0,,1.0997,86148.0,1.2434934,86311.0,16,Completed survey in over 2 minutes,gen pop,Yes,2,No,We broke up,We both equally wanted to break up,nan,nan,nan,No (Not Latino or Hispanic),1960.0,12th grade no diploma,HS graduate or GED,Undecided/Independent/Other,"Some college, no degree",I met [Partner Name] in [answer in Q15A7_2],0.0,Never married,nan,I am sexually attracted only to women,Yes,1998,March,1998,August,1999,April,nan,nan,2001,May,Q21C_2,nan,nan,heterosexual or straight,nan,nan,I earned more,Different High School,nan,No,No,Yes,No,No,No,No,"No, I did NOT meet [Partner Name] through the Internet","No, I have not met anyone for dating, romance, or sex in the past year",nan,nan,nan,Leans Democrat,Yes,Not asked,Every day,Not asked,Never,60,55-64,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,Yes,1,A mobile home,"$15,000 to $19,999",Never married,Non-Metro,West,Pacific,Rented for cash,0,0,0,0,1,Not working - retired,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,took the survey,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,57.0,12th grade no diploma,HS graduate or GED,Undecided/Independent/Other,"Some college, no degree",United States,United States,I met [Partner Name] in [Answer in Q15A6],0.0,0.0,sexually attracted only to opposite gender,nan,Yes,1998.0,March,no,1998.0,August,0.0,1999.0,April,,,nan,2001.0,May,,nan,heterosexual or straight,nan,,I earned more,14.0,Different High School,,No,No,yes,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",nan,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,,,1.2176046,"unpartnered, has had past partner",0,1998.2084,1998625,41.0,0.41662598,1999.2916,0.666626,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,14.0,0.0,no,no,no,no,White,no,12.0,13.0,12.0,13.0
