,CaseID,CASEID_NEW,qflag,weight1,weight1_freqwt,weight2,weight1a,weight1a_freqwt,weight_combo,weight_combo_freqwt,duration,speed_flag,xlgb,S2,Q4,Q5,Q6A,Q6B,Q9,Q10,Q11,Q12,Q14,Q15A7,Q16,Q17B,Q17C,Q17D,Q19,Q20,Q21A_Year,Q21A_Month,Q21B_Year,Q21B_Month,Q21C_Year,Q21C_Month,Q21D_Year,Q21D_Month,w6_identity,w6_outness,w6_outness_timing,Q23,Q24_Refused,Q25,Q26,Q27,Q28,w6_friend_connect_1,w6_friend_connect_2,w6_friend_connect_3,w6_friend_connect_4,w6_friend_connect_Refused,Q32,Q34,Q35_Refused,w6_sex_frequency,w6_otherdate,w6_how_many,w6_how_meet_Refused,w6_otherdate_app,w6_how_many_app,partyid7,ppc21310,ppp20071,ppp20072,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,PPREG4,ppreg9,pprent,PPT01,PPT25,PPT612,PPT1317,PPT18OV,ppwork,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,race1,race2,race3,race4,race5,race6,race7,race8,race9,race10,race11,race12,race13,race14,race15,w6_prior_identity_lgb,w6_same_sex_couple,w6_same_sex_couple_gender,w6_q4,w6_q5,w6_q6a,w6_q6b,w6_q9,w6_q10,w6_q11,w6_q12,w6_q14,w6_q15a1_truncated,w6_q15a4_truncated,w6_q15a7,w6_q16,w6_q17,w6_attraction,w6_q19,w6_q20,w6_q21a_year,w6_q21a_month,w6_q21a_month_flag,w6_q21b_year,w6_q21b_month,w6_q21b_month_flag,w6_q21c_year,w6_q21c_month,w6_q21c_month_flag,w6_q21d_year,w6_identity_all,w6_outness_all,w6_outness_timing_all,w6_q23,w6_q24_length,w6_q25,w6_q26,w6_q27,w6_q28,w6_friend_connect_1_all,w6_friend_connect_2_all,w6_friend_connect_3_all,w6_friend_connect_4_all,w6_q32,w6_q34,w6_otherdate_all,w6_how_many_all,w6_otherdate_app_all,w6_how_many_app_all,w6_number_people_met,w6_otherdate_dichotomous,w6_married,relate_duration_at_w6_years,w6_number_people_met_app,weight_combo_v2,female,year_fraction_met,year_fraction_relstart,age_when_met,time_from_met_to_rel,year_fraction_first_cohab,time_from_rel_to_cohab,hcm2017q24_R_cowork,hcm2017q24_R_friend,hcm2017q24_R_family,hcm2017q24_R_sig_other,hcm2017q24_R_neighbor,hcm2017q24_P_cowork,hcm2017q24_P_friend,hcm2017q24_P_family,hcm2017q24_P_sig_other,hcm2017q24_P_neighbor,hcm2017q24_btwn_I_cowork,hcm2017q24_btwn_I_friend,hcm2017q24_btwn_I_family,hcm2017q24_btwn_I_sig_other,hcm2017q24_btwn_I_neighbor,hcm2017q24_school,hcm2017q24_college,hcm2017q24_mil,hcm2017q24_church,hcm2017q24_vol_org,hcm2017q24_customer,hcm2017q24_bar_restaurant,hcm2017q24_party,hcm2017q24_internet_other,hcm2017q24_internet_dating,hcm2017q24_internet_soc_network,hcm2017q24_internet_game,hcm2017q24_internet_chat,hcm2017q24_internet_org,hcm2017q24_public,hcm2017q24_blind_date,hcm2017q24_vacation,hcm2017q24_single_serve_nonint,hcm2017q24_business_trip,hcm2017q24_work_neighbors,hcm2017q24_met_online,hcm2017_q24_length,hcm2017q24_summary_all_codes,w6_relationship_quality,hcm2017q24_met_through_family,hcm2017q24_met_through_friend,hcm2017q24_met_through_as_nghbrs,hcm2017q24_met_as_through_cowork,w6_subject_race,interracial_5cat,partner_mother_yrsed,subject_mother_yrsed,partner_yrsed,subject_yrsed
1591,1907,2825037,Qualified,,,0.9412,,,0.29165977,20244.0,10,Completed survey in over 2 minutes,LGB sample,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,"No, we are an opposite-sex couple",No (Not Latino or Hispanic),Other (please specify),60.0,10th grade,1st-4th grade,Undecided/Independent/Other,"Some college, no degree",I met [Partner Name] in [Answer in Q15A6],1.0,Once,"I am mostly sexually attracted to women, less often sexually attracted to men",nan,No,No,1998,June,1998,June,nan,nan,nan,nan,lesbian,All or most of them,14,We earned about the same amount,nan,Different High School,nan,No,No,Yes,No,No,No,No,"No, I did NOT meet [Partner Name] through the Internet",Good,nan,2 to 3 times a month,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","One person. I met only one person besides [Partner Name] in the past year for dating, or romance, or sex.",nan,"No, I have not used a phone dating app in the past year to meet someone in person besides [Partner Name]",nan,Strong Democrat,At least once a week but not every day,No,A few times a year,57,55-64,45-59,"Some college, no degree",Some college,"Black, Non-Hispanic",Female,Yes,1,A building with 2 or more apartments,"$12,500 to $14,999",Divorced,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,1,Working - as a paid employee,No,Yes,No,No,No,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,"No, we are an opposite-sex couple",No (Not Latino or Hispanic),Other (please specify),60.0,10th grade,1st-4th grade,Undecided/Independent/Other,"Some college, no degree",United States,United States,I met [Partner Name] in [Answer in Q15A6],1.0,1.0,"sexually attracted mostly to same gender, sometimes opposite gender",No,No,1998.0,June,no,1998.0,June,0.0,,nan,,,lesbian,All or most of them,14.0,We earned about the same amount,172.0,Different High School,,No,No,yes,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",Good,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","No, I have not met anyone for dating, romance, or sex in the past year",1.0,nan,1.0,yes,no,19.083334,0.0,0.41041395,1,1998.4584,1998.4584,38.0,0.0,,,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,172.0,2.0,good,no,yes,no,no,Black or African American,yes,2.5,13.0,10.0,13.0
1596,1913,2207217,Qualified,0.69,54053.0,,686,53740.0,0.7756993,53841.0,8,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,58.0,HS graduate or GED,HS graduate or GED,Leans Republican,Associate degree,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",0.0,Once,nan,I am sexually attracted only to women,No,Yes,2007,July,2007,September,2011,March,nan,nan,heterosexual or straight,nan,nan,I earned more,nan,Different High School,nan,No,No,Yes,No,No,No,No,"No, I did NOT meet [Partner Name] through the Internet",Good,nan,Once a month or less,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","Two to Five people. I met between two and five different people besides [Partner Name] in the past year for dating, rom",nan,"No, I have not used a phone dating app in the past year to meet someone in person besides [Partner Name]",nan,Leans Republican,Every day,Not asked,Never,61,55-64,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,1,A building with 2 or more apartments,"$150,000 to $174,999",Divorced,Metro,West,Pacific,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,58.0,HS graduate or GED,HS graduate or GED,Leans Republican,Associate degree,United States,United States,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",0.0,1.0,sexually attracted only to opposite gender,No,Yes,2007.0,July,no,2007.0,September,0.0,2011.0,March,,,heterosexual or straight,nan,,I earned more,212.0,Different High School,,No,No,yes,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",Good,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","Yes, I have met at least one person for dating, romance, or sex in the past year.",1.0,nan,3.5,yes,no,9.833333,0.0,0.7595497,0,2007.5416,2007.7084,51.0,0.16674805,2011.2084,3.5,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,212.0,3.0,good,yes,no,no,no,White,no,12.0,14.0,12.0,16.0
1597,1914,2048317,Qualified,1.0475,82059.0,0.5354,1.0415,81589.0,0.16591017,11516.0,16,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,"Yes, we are a same-sex couple","Yes, Puerto Rican",White,54.0,Associate degree,No formal education,Undecided/Independent/Other,No formal education,I met [Partner Name] in [Answer in Q15A6],2.0,Never married,nan,I am sexually attracted only to men,No,No,2015,June,2016,April,nan,nan,nan,nan,gay,All or most of them,17,Refused,nan,Different High School,Did not attend same college or university,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet",Excellent,nan,Once or twice a week,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Leans Democrat,Every day,No,Once a year or less,54,45-54,45-59,Associate degree,Some college,Hispanic,Male,Yes,1,A building with 2 or more apartments,"$10,000 to $12,499",Never married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,1,Not working - disabled,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGB,same_sex_couple,gay male couple,[Partner Name] is Male,"Yes, we are a same-sex couple","Yes, Puerto Rican",White,54.0,Associate degree,No formal education,Undecided/Independent/Other,No formal education,United States,United States,I met [Partner Name] in [Answer in Q15A6],2.0,0.0,sexually attracted only to same gender,No,No,2015.0,June,no,2016.0,April,0.0,,nan,,,gay,All or most of them,17.0,Refused,155.0,Different High School,2.0,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",Excellent,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,1.25,,0.23346327,0,2015.4584,2016.2916,52.0,0.83325195,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,155.0,1.0,excellent,no,no,no,no,White,no,0.0,0.0,14.0,14.0
1598,1915,2762123,Qualified,1.0627,83249.0,,1.0566,82771.0,1.1947578,82928.0,5,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,54.0,Professional or Doctorate degree,HS graduate or GED,Undecided/Independent/Other,12th grade no diploma,I met [Partner Name] in [Answer in Q15A6],0.0,Never married,I am sexually attracted only to men,nan,Yes,nan,2016,September,2016,December,2017,June,nan,nan,heterosexual or straight,nan,nan,[Partner Name] earned more,nan,Different High School,nan,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet",Excellent,nan,2 to 3 times a month,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Leans Republican,Every day,Not asked,Never,48,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,No,7,A one-family house detached from any other house,"$85,000 to $99,999",Never married,Metro,South,South Atlantic,Rented for cash,0,1,2,0,4,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,54.0,Professional or Doctorate degree,HS graduate or GED,Undecided/Independent/Other,12th grade no diploma,United States,United States,I met [Partner Name] in [Answer in Q15A6],0.0,0.0,sexually attracted only to opposite gender,Yes,nan,2016.0,September,no,2016.0,December,0.0,2017.0,June,,,heterosexual or straight,nan,,[Partner Name] earned more,142.0,Different High School,,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",Excellent,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,0.5833333,,1.1698837,1,2016.7084,2016.9584,47.0,0.25,2017.4584,0.5,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,142.0,1.0,excellent,no,no,no,no,White,no,12.0,12.0,20.0,12.0
1605,1926,2175609,Qualified,1.5678,122818.0,,1.5588,122112.0,1.762624,122344.0,21,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Female,nan,"Yes, Other Latino/Hispanic",Other (please specify),30.0,HS graduate or GED,HS graduate or GED,Undecided/Independent/Other,Masters degree,I met [Partner Name] in [Answer in Q15A6],8.0,Never married,nan,I am sexually attracted only to women,No,Yes,2014,April,2014,April,2014,May,nan,nan,heterosexual or straight,nan,nan,We earned about the same amount,nan,Different High School,nan,Yes,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet",Fair,nan,Once a month or less,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","Two to Five people. I met between two and five different people besides [Partner Name] in the past year for dating, rom",nan,"No, I have not used a phone dating app in the past year to meet someone in person besides [Partner Name]",nan,Strong Democrat,At least once a week but not every day,No,A few times a year,27,25-34,18-29,"Some college, no degree",Some college,Hispanic,Male,Yes,4,A building with 2 or more apartments,"$100,000 to $124,999",Never married,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,2,0,2,Working - as a paid employee,No,No,No,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,"Yes, Other Latino/Hispanic",Other (please specify),30.0,HS graduate or GED,HS graduate or GED,Undecided/Independent/Other,Masters degree,United States,United States,I met [Partner Name] in [Answer in Q15A6],8.0,0.0,sexually attracted only to opposite gender,No,Yes,2014.0,April,no,2014.0,April,0.0,2014.0,May,,,heterosexual or straight,nan,,We earned about the same amount,21.0,Different High School,,Yes,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",Fair,"Yes, I have met at least one person for dating, romance, or sex besides [Partner Name] in  the past year.","Yes, I have met at least one person for dating, romance, or sex in the past year.",1.0,nan,3.5,yes,no,3.25,0.0,1.7259272,0,2014.2916,2014.2916,24.0,0.0,2014375,0.08337402,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,21.0,0.0,fair,no,no,no,no,Other (please specify),no,12.0,17.0,12.0,13.0
1606,1927,2760291,Qualified,,,0.7057,,,0.21868286,15179.0,22135,Completed survey in over 2 minutes,LGB sample,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,"No, we are an opposite-sex couple",No (Not Latino or Hispanic),White,38.0,"Some college, no degree",Associate degree,Leans Republican,Bachelors degree,I met [Partner Name] in [Answer in Q15A6],2.0,Never married,I am equally sexually attracted to men and women,nan,Yes,nan,2008,September,2011,June,2013,May,nan,nan,bisexual,All or most of them,14,[Partner Name] earned more,nan,Same High School,Did not attend same college or university,Yes,Yes,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet",Excellent,nan,3 to 6 times a week,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Leans Democrat,Every day,Not asked,Never,24,18-24,18-29,Associate degree,Some college,"White, Non-Hispanic",Female,No,2,A building with 2 or more apartments,"$50,000 to $59,999",Living with partner,Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,"No, we are an opposite-sex couple",No (Not Latino or Hispanic),White,38.0,"Some college, no degree",Associate degree,Leans Republican,Bachelors degree,United States,United States,I met [Partner Name] in [Answer in Q15A6],2.0,0.0,sexually attracted to men and women equally,Yes,nan,2008.0,September,no,2011.0,June,0.0,2013.0,May,,,bisexual,All or most of them,14.0,[Partner Name] earned more,283.0,Same High School,2.0,Yes,Yes,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",Excellent,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,6.0833335,,0.30772325,1,2008.7084,2011.4584,15.0,2.75,2013375,1.916626,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,283.0,5.0,excellent,yes,no,yes,no,White,no,14.0,16.0,13.0,14.0
1607,1928,823005,Qualified,1.1798,92423.0,,1173,91890.0,1.326378,92064.0,241,Completed survey in over 2 minutes,gen pop,I have a romantic partner who is not yet a sexual partner,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,78.0,HS graduate or GED,HS graduate or GED,Strong Republican,HS graduate or GED,I met [Partner Name] in [Answer in Q15A6],0.0,Twice,I am sexually attracted only to men,nan,No,No,1958,May,1958,June,nan,nan,nan,nan,heterosexual or straight,nan,nan,[Partner Name] was not working for pay,nan,Different High School,nan,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet",Excellent,nan,Refused,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Not Strong Republican,At least once a week but not every day,Yes,Once a week,62,55-64,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Female,Yes,1,A building with 2 or more apartments,"Less than $5,000",Divorced,Non-Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,78.0,HS graduate or GED,HS graduate or GED,Strong Republican,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],0.0,2.0,sexually attracted only to opposite gender,No,No,1958.0,May,no,1958.0,June,0.0,,nan,,,heterosexual or straight,nan,,[Partner Name] was not working for pay,407.0,Different High School,,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",Excellent,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,59.083332,,1.2987635,1,1958375,1958.4584,3.0,0.08337402,,,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,407.0,2.0,excellent,yes,no,no,no,White,no,12.0,12.0,12.0,13.0
1614,1938,1815129,Qualified,1.0831,84847.0,,1.0769,84362.0,1.2177123,84522.0,10,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,50.0,HS graduate or GED,HS graduate or GED,Strong Democrat,HS graduate or GED,I met [Partner Name] in [Answer in Q15A6],0.0,Never married,"I am mostly sexually attracted to men, less often sexually attracted to women",nan,Yes,nan,1988,October,2006,August,2009,September,nan,nan,heterosexual or straight,nan,nan,I earned more,nan,Different High School,nan,Yes,No,Yes,Yes,Yes,No,No,"No, I did NOT meet [Partner Name] through the Internet",Good,nan,Once a month or less,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Strong Democrat,Every day,No,Once a year or less,53,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Female,No,3,A one-family house detached from any other house,"$75,000 to $84,999",Living with partner,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,50.0,HS graduate or GED,HS graduate or GED,Strong Democrat,HS graduate or GED,United States,United States,I met [Partner Name] in [Answer in Q15A6],0.0,0.0,"sexually attracted mostly to opposite gender, sometimes same gender",Yes,nan,1988.0,October,no,2006.0,August,0.0,2009.0,September,,,heterosexual or straight,nan,,I earned more,528.0,Different High School,,Yes,No,yes,yes,yes,no,"No, I did NOT meet [Partner Name] through the Internet",Good,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,10.916667,,1.1923602,1,1988.7916,2006625,24.0,17.833374,2009.7084,3.083374,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,528.0,3.0,good,no,no,no,yes,White,no,12.0,12.0,12.0,13.0
1621,1948,842437,Qualified,0.9072,71068.0,,902,70660.0,1.0199429,70794.0,15,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,61.0,Associate degree,Bachelors degree,Strong Republican,HS graduate or GED,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",5.0,Once,I am sexually attracted only to men,nan,No,No,2000,November,2000,December,nan,nan,nan,nan,heterosexual or straight,nan,nan,[Partner Name] earned more,nan,Different High School,nan,No,No,No,No,No,Yes,No,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)",Good,nan,Once a month or less,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Leans Republican,Every day,Not asked,A few times a year,61,55-64,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,Yes,1,A one-family house detached from any other house,"$35,000 to $39,999",Divorced,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Male,nan,No (Not Latino or Hispanic),White,61.0,Associate degree,Bachelors degree,Strong Republican,HS graduate or GED,United States,United States,"I met [Partner Name] somewhere else, Please specify the Country, State, and city or town:",5.0,1.0,sexually attracted only to opposite gender,No,No,2000.0,November,no,2000.0,December,0.0,,nan,,,heterosexual or straight,nan,,[Partner Name] earned more,248.0,Different High School,,No,No,no,no,no,yes,"Yes, an Internet dating or matchmaking site (like eHarmony or match.com)",Good,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,16.583334,,0.99870825,1,2000875,2000.9584,44.0,0.08337402,,,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,248.0,3.0,good,yes,no,no,no,White,no,16.0,12.0,14.0,12.0
1625,1953,2920603,Qualified,0.6943,54390.0,,0.6903,54076.0,0.78056157,54179.0,45,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,55.0,Bachelors degree,"Some college, no degree",Undecided/Independent/Other,Associate degree,I met [Partner Name] in [Answer in Q15A6],0.0,Never married,nan,I am sexually attracted only to women,Yes,nan,1986,April,2012,November,2016,August,nan,nan,heterosexual or straight,nan,nan,[Partner Name] was not working for pay,nan,Different High School,Attended same college or university,No,No,No,No,No,Yes,No,"No, I did NOT meet [Partner Name] through the Internet",Excellent,nan,Once a month or less,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Leans Democrat,Every day,Not asked,Never,54,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,3,A one-family house detached from any other house,"$250,000 or more",Living with partner,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,No,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,No (Not Latino or Hispanic),White,55.0,Bachelors degree,"Some college, no degree",Undecided/Independent/Other,Associate degree,United States,United States,I met [Partner Name] in [Answer in Q15A6],0.0,0.0,sexually attracted only to opposite gender,Yes,nan,1986.0,April,no,2012.0,November,0.0,2016.0,August,,,heterosexual or straight,nan,,[Partner Name] was not working for pay,743.0,Different High School,1.0,No,No,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",Excellent,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,4.6666665,,0.7643107,0,1986.2916,2012875,23.0,26.583374,2016625,3.75,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,743.0,2.0,excellent,no,no,no,no,White,no,13.0,14.0,16.0,16.0
1629,1958,2954265,Qualified,1.4706,115203.0,,1.4622,114545.0,1.6533929,114762.0,12,Completed survey in over 2 minutes,gen pop,"Yes, I have a sexual partner (boyfriend or girlfriend)",[Partner Name] is Female,nan,"Yes, Cuban","American Indian, Aleut, or Eskimo",25.0,Bachelors degree,HS graduate or GED,Leans Democrat,"Some college, no degree",I met [Partner Name] in [Answer in Q15A6],1.0,Never married,nan,I am sexually attracted only to women,Yes,nan,2002,March,2004,May,2010,February,nan,nan,heterosexual or straight,nan,nan,We earned about the same amount,nan,Same High School,nan,No,No,Yes,Yes,No,No,No,"No, I did NOT meet [Partner Name] through the Internet",Excellent,nan,3 to 6 times a week,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,nan,Leans Democrat,About once a month,Not asked,Never,31,25-34,30-44,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Male,Yes,1,A building with 2 or more apartments,"$25,000 to $29,999",Separated,Metro,Northeast,New England,Rented for cash,0,0,0,0,1,Working - self-employed,No,No,Yes,No,No,No,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,straight/ non LGB,NOT same-sex souple,hetero couple,[Partner Name] is Female,nan,"Yes, Cuban","American Indian, Aleut, or Eskimo",25.0,Bachelors degree,HS graduate or GED,Leans Democrat,"Some college, no degree",United States,United States,I met [Partner Name] in [Answer in Q15A6],1.0,0.0,sexually attracted only to opposite gender,Yes,nan,2002.0,March,no,2004.0,May,0.0,2010.0,February,,,heterosexual or straight,nan,,We earned about the same amount,58.0,Same High School,,No,No,yes,yes,no,no,"No, I did NOT meet [Partner Name] through the Internet",Excellent,"No, I have not met anyone for dating, romance, or sex besides [Partner Name] in the past year.",nan,nan,nan,0.0,no,no,13.166667,,1.6189703,0,2002.2084,2004375,16.0,2.166626,2010125,5.75,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,58.0,1.0,excellent,no,no,no,no,"American Indian, Aleut, or Eskimo",no,12.0,13.0,16.0,12.0
